X,n,K,primes,certificate
1024,767845,3,1193;1867;1931,"p=1193,r=746,rho=446,q=643,a=342,e=211,t=158,h=837,j=651 | p=1867,r=508,rho=508,q=411,a=1263,e=636,t=1353,h=1382,j=476 | p=1931,r=1238,rho=692,q=397,a=1927,e=519,t=1227,h=587,j=1882"
1024,770605,3,1087;1259;1873,"p=1087,r=1009,rho=77,q=708,a=650,e=24,t=184,h=562,j=1034 | p=1259,r=97,rho=97,q=612,a=1251,e=671,t=260,h=225,j=302 | p=1873,r=802,rho=802,q=411,a=1610,e=371,t=1542,h=1642,j=1370"
1024,775221,3,1069;1201;1831,"p=1069,r=196,rho=196,q=725,a=848,e=326,t=477,h=317,j=294 | p=1201,r=576,rho=576,q=645,a=889,e=204,t=199,h=378,j=464 | p=1831,r=708,rho=708,q=423,a=592,e=1194,t=1751,h=383,j=513"
1024,776660,3,1069;1907;2011,"p=1069,r=566,rho=502,q=726,a=369,e=358,t=299,h=180,j=306 | p=1907,r=511,rho=511,q=407,a=676,e=1164,t=964,h=1028,j=1114 | p=2011,r=414,rho=414,q=386,a=636,e=1474,t=373,h=1402,j=2"
1024,797969,3,1453;1621;1847,"p=1453,r=272,rho=272,q=549,a=263,e=595,t=1000,h=953,j=849 | p=1621,r=437,rho=437,q=492,a=826,e=18,t=204,h=1335,j=1136 | p=1847,r=65,rho=65,q=432,a=1435,e=1767,t=1317,h=184,j=1021"
1024,834884,3,1217;1823;1931,"p=1217,r=22,rho=22,q=686,a=522,e=136,t=577,h=957,j=381 | p=1823,r=1773,rho=49,q=457,a=475,e=293,t=1416,h=1618,j=1025 | p=1931,r=692,rho=692,q=432,a=1927,e=519,t=1227,h=587,j=53"
1024,842502,3,1087;1117;1523,"p=1087,r=77,rho=77,q=775,a=650,e=24,t=184,h=562,j=307 | p=1117,r=284,rho=284,q=754,a=458,e=604,t=975,h=959,j=436 | p=1523,r=283,rho=283,q=553,a=1250,e=755,t=231,h=767,j=341"
1024,867698,3,1201;1217;1823,"p=1201,r=576,rho=576,q=722,a=889,e=204,t=199,h=378,j=967 | p=1217,r=1194,rho=22,q=712,a=522,e=136,t=577,h=957,j=439 | p=1823,r=1773,rho=49,q=475,a=475,e=293,t=1416,h=1618,j=191"
1024,869166,3,1453;1559;2011,"p=1453,r=272,rho=272,q=598,a=263,e=595,t=1000,h=953,j=570 | p=1559,r=803,rho=755,q=557,a=1545,e=613,t=1056,h=755,j=721 | p=2011,r=414,rho=414,q=432,a=636,e=1474,t=373,h=1402,j=1779"
1024,870816,3,1229;1427;1873,"p=1229,r=684,rho=544,q=708,a=195,e=594,t=557,h=203,j=930 | p=1427,r=346,rho=346,q=610,a=611,e=128,t=460,h=1131,j=951 | p=1873,r=1744,rho=128,q=464,a=884,e=1703,t=1098,h=77,j=202"
1024,900586,3,1049;1117;1723,"p=1049,r=544,rho=504,q=858,a=601,e=457,t=252,h=333,j=202 | p=1117,r=284,rho=284,q=806,a=458,e=604,t=975,h=959,j=546 | p=1723,r=1180,rho=542,q=522,a=1346,e=366,t=396,h=1270,j=1702"
1024,930394,3,1087;1129;1933,"p=1087,r=1009,rho=77,q=855,a=650,e=24,t=184,h=562,j=345 | p=1129,r=98,rho=98,q=824,a=17,e=918,t=373,h=949,j=726 | p=1933,r=621,rho=621,q=481,a=1860,e=426,t=744,h=557,j=116"
1024,943882,3,1447;1831;1847,"p=1447,r=438,rho=438,q=652,a=1264,e=941,t=7,h=1071,j=1048 | p=1831,r=917,rho=913,q=515,a=1172,e=1615,t=712,h=75,j=1270 | p=1847,r=65,rho=65,q=511,a=1435,e=1767,t=1317,h=184,j=1505"
1024,951202,3,1087;1709;1831,"p=1087,r=77,rho=77,q=875,a=650,e=24,t=184,h=562,j=326 | p=1709,r=998,rho=710,q=556,a=983,e=1271,t=570,h=471,j=1401 | p=1831,r=913,rho=913,q=519,a=1172,e=1615,t=712,h=75,j=161"
1024,953361,3,1433;1657;1723,"p=1433,r=416,rho=416,q=665,a=1211,e=1157,t=1388,h=525,j=661 | p=1657,r=586,rho=586,q=575,a=1069,e=323,t=1609,h=94,j=1396 | p=1723,r=542,rho=542,q=553,a=1346,e=366,t=396,h=1270,j=325"
1024,954011,3,1447;1489;1907,"p=1447,r=438,rho=438,q=659,a=1264,e=941,t=7,h=1071,j=1189 | p=1489,r=1051,rho=437,q=640,a=444,e=122,t=76,h=316,j=21 | p=1907,r=511,rho=511,q=500,a=676,e=1164,t=964,h=1028,j=1293"
1024,961456,3,1489;1621;1709,"p=1489,r=1051,rho=437,q=645,a=444,e=122,t=76,h=316,j=1022 | p=1621,r=203,rho=203,q=593,a=1502,e=566,t=512,h=1447,j=618 | p=1709,r=998,rho=710,q=562,a=983,e=1271,t=570,h=471,j=490"
1024,990684,3,1427;1847;1951,"p=1427,r=346,rho=346,q=694,a=611,e=128,t=460,h=1131,j=4 | p=1847,r=692,rho=692,q=536,a=1394,e=567,t=282,h=173,j=821 | p=1951,r=1527,rho=423,q=507,a=216,e=1571,t=1198,h=566,j=782"
1024,1032151,3,1069;1153;1873,"p=1069,r=566,rho=502,q=965,a=369,e=358,t=299,h=180,j=110 | p=1153,r=216,rho=216,q=895,a=27,e=300,t=1123,h=51,j=419 | p=1873,r=128,rho=128,q=551,a=884,e=1703,t=1098,h=77,j=630"
1024,1039094,3,1087;1117;1831,"p=1087,r=1009,rho=77,q=955,a=650,e=24,t=184,h=562,j=489 | p=1117,r=284,rho=284,q=930,a=458,e=604,t=975,h=959,j=225 | p=1831,r=917,rho=913,q=567,a=1172,e=1615,t=712,h=75,j=589"
